"AircraftDescription","Description","Designator","EngineCount","EngineType","ManufacturerCode","ModelFullName","WTC"
"Helicopter","H1T","ES11","1","Turboprop/Turboshaft","ALPI","Syton","L"
"LandPlane","L1P","PNR2","1","Piston","ALPI","Pioneer 230","L"
"LandPlane","L1P","PNR2","1","Piston","ALPI","Pioneer 200","L"
"LandPlane","L1P","PNR3","1","Piston","ALPI","Pioneer 300","L"
"LandPlane","L1P","PNR3","1","Piston","ALPI","Pioneer 330","L"
"LandPlane","L1P","AV68","1","Piston","ALPLA","AVO-68 Samburo","L"
"LandPlane","L1P","AV68","1","Piston","ALPLA","Samburo","L"
"LandPlane","L1P","ALC1","1","Piston","ALTAIR COELHO","AC-11","L"
"LandPlane","L1P","BD5","1","Piston","ALTURAIR","BD-5B Micro","L"
"LandPlane","L1P","BD5","1","Piston","ALTURAIR","BD-5G Micro","L"
"LandPlane","L1J","BD5J","1","Jet","ALTURAIR","BD-5J Micro","L"
"LandPlane","L1P","BD5","1","Piston","ALTURAIR","Micro (BD-5B/G)","L"
"LandPlane","L1J","BD5J","1","Jet","ALTURAIR","Micro (BD-5J)","L"
"LandPlane","L1P","POLI","1","Piston","ALVAREZ","Polliwagen","L"
"Gyrocopter","G1P","DEAG","1","Piston","AMAX","Double Eagle","L"
"LandPlane","L1P","KTOO","1","Piston","AMAX","J-6 Karatoo","L"
"LandPlane","L1P","KTOO","1","Piston","AMAX","Karatoo","L"
"LandPlane","L1P","SPOR","1","Piston","AMAX","Sport 1700","L"
"LandPlane","L1P","VIXN","1","Piston","AMAX","Vixen","L"
"LandPlane","L1P","ROND","1","Piston","AMBROSINI","F-4 Rondone","L"
"LandPlane","L1P","ROND","1","Piston","AMBROSINI","Rondone","L"
"LandPlane","L1P","TB05","1","Piston","AMC","Texas Bullet 205","L"
"LandPlane","L1P","CH2T","1","Piston","AMD","Alarus","L"
"LandPlane","L1P","CH60","1","Piston","AMD","CH-601 Zodiac","L"
"LandPlane","L1P","CH2T","1","Piston","AMD","CH-2000 Alarus","L"
"LandPlane","L1P","CH2T","1","Piston","AMD","CH-2000 Zénith","L"
"LandPlane","L1P","MX1T","1","Piston","AMD","Patriot","L"
"LandPlane","L1P","CH2T","1","Piston","AMD","Zénith","L"
"LandPlane","L1P","CH75","1","Piston","AMD","Stol","L"
"LandPlane","L1P","CH60","1","Piston","AMD","Zodiac (CH-601)","L"
"LandPlane","L1P","CH65","1","Piston","AMD","Zodiac (CH-650)","L"
"LandPlane","L1P","CH75","1","Piston","AMD","CH-750 Cruzer","L"
"LandPlane","L1P","CH75","1","Piston","AMD","Cruzer","L"
"LandPlane","L1P","CH65","1","Piston","AMD","CH-650 Zodiac","L"
"LandPlane","L1P","CH75","1","Piston","AMD","CH-750 Stol","L"
"LandPlane","L1P","MX1T","1","Piston","AMD","MXP-150 Patriot","L"
"LandPlane","L1P","EAGT","1","Piston","AMEAGLE","American Eaglet","L"
"LandPlane","L1P","AA1","1","Piston","AMERICAN","AA-1 Tr2","L"
"LandPlane","L1P","AA1","1","Piston","AMERICAN","AA-1 Trainer","L"
"LandPlane","L1P","AA1","1","Piston","AMERICAN","AA-1 Yankee","L"
"LandPlane","L1P","AA5","1","Piston","AMERICAN","AA-5 Traveler","L"
"LandPlane","L1P","AA1","1","Piston","AMERICAN","Tr2","L"
"LandPlane","L1P","AA1","1","Piston","AMERICAN","Trainer","L"
"LandPlane","L1P","AA5","1","Piston","AMERICAN","Traveler","L"
"LandPlane","L1P","AA1","1","Piston","AMERICAN","Yankee","L"
"LandPlane","L1P","VSON","1","Piston","AMERICAN AFFORDABLE","Vision","L"
"LandPlane","L1P","FALC","1","Piston","AMERICAN AIRCRAFT","Falcon XP","L"
"Gyrocopter","G1P","SPHA","1","Piston","AMERICAN AUTOGYRO","SparrowHawk","L"
"Gyrocopter","G1P","SPHA","1","Piston","AMERICAN AUTOGYRO","Spinus","L"
"LandPlane","L1P","CH7B","1","Piston","AMERICAN CHAMPION","7GCAA Citabria Ultimate Adventure","L"
"LandPlane","L1P","CH7B","1","Piston","AMERICAN CHAMPION","7GCBC Citabria High Country Explorer","L"
"LandPlane","L1P","CH7B","1","Piston","AMERICAN CHAMPION","Citabria  Ultimate Adventure","L"
"LandPlane","L1P","CH7B","1","Piston","AMERICAN CHAMPION","Citabria High Country Explorer","L"
"LandPlane","L1P","CH7A","1","Piston","AMERICAN CHAMPION","7EC Champ","L"
"LandPlane","L1P","CH7A","1","Piston","AMERICAN CHAMPION","7ECA Citabria Aurora","L"
"LandPlane","L1P","CH7B","1","Piston","AMERICAN CHAMPION","7GCAA Citabria Adventure","L"
"LandPlane","L1P","CH7B","1","Piston","AMERICAN CHAMPION","7GCBC Citabria Explorer","L"
"LandPlane","L1P","BL8","1","Piston","AMERICAN CHAMPION","8 Scout","L"
"LandPlane","L1P","BL8","1","Piston","AMERICAN CHAMPION","8 Super Decathlon","L"
"LandPlane","L1P","CH7A","1","Piston","AMERICAN CHAMPION","Champ","L"
"LandPlane","L1P","CH7B","1","Piston","AMERICAN CHAMPION","Citabria Adventure","L"
"LandPlane","L1P","CH7A","1","Piston","AMERICAN CHAMPION","Citabria Aurora","L"
"LandPlane","L1P","CH7B","1","Piston","AMERICAN CHAMPION","Citabria Explorer","L"
"LandPlane","L1P","BL8","1","Piston","AMERICAN CHAMPION","Scout","L"
"LandPlane","L1P","BL8","1","Piston","AMERICAN CHAMPION","Super Decathlon","L"
"LandPlane","L1P","AEA1","1","Piston","AMERICAN EAGLE","A-1","L"
"LandPlane","L1P","AEA1","1","Piston","AMERICAN EAGLE","A-101","L"
"LandPlane","L1P","AA5","1","Piston","AMERICAN GENERAL","AG-5 Tiger","L"
"LandPlane","L1P","AA5","1","Piston","AMERICAN GENERAL","Tiger","L"
"LandPlane","L1P","JDOE","1","Piston","AMERICAN HOMEBUILTS","John Doe","L"
"LandPlane","L1P","J3","1","Piston","AMERICAN LEGEND","AL-3C Legend Cub","L"
"LandPlane","L1P","PA11","1","Piston","AMERICAN LEGEND","AL-11C Legend Cub Special","L"
"LandPlane","L1P","J3","1","Piston","AMERICAN LEGEND","Legend Cub","L"
"LandPlane","L1P","PA11","1","Piston","AMERICAN LEGEND","Legend Cub Special","L"
"Helicopter","H1P","ULTS","1","Piston","AMERICAN SPORTSCOPTER","Ultrasport 496","L"
"LandPlane","L1P","BLBU","1","Piston","AMEUR","Altania","L"
"LandPlane","L1P","BLBU","1","Piston","AMEUR","Balbuzard","L"
"LandPlane","L1P","BLBU","1","Piston","AMEUR","Baljims","L"
"LandPlane","L1P","TFK2","1","Piston","AMS-FLIGHT","Carat","L"
"LandPlane","L1J","AMX","1","Jet","AMX","A-1","M"
"LandPlane","L1J","AMX","1","Jet","AMX","AMX","M"
"LandPlane","L1J","AMX","1","Jet","AMX","AMX Ghibli","M"
"LandPlane","L1J","AMX","1","Jet","AMX","Ghibli","M"
"LandPlane","L1P","TARO","1","Piston","ANAHUAC","Tauro","L"
"Amphibian","A1P","KFIS","1","Piston","ANDERSON","EA-1 Kingfisher","L"
"Amphibian","A1P","KFIS","1","Piston","ANDERSON","Kingfisher","L"
"LandPlane","L1P","T250","1","Piston","ANDERSON-GREENWOOD","Aries","L"
"LandPlane","L1P","T250","1","Piston","ANDERSON-GREENWOOD","T-250 Aries","L"
"LandPlane","L1P","JUNR","1","Piston","ANDREASSON","BA-7","L"
"LandPlane","L1P","JUNR","1","Piston","ANDREASSON","MFI-9","L"
"LandPlane","L2P","ANGL","2","Piston","ANGEL","44 Angel","L"
"LandPlane","L2P","ANGL","2","Piston","ANGEL","Angel","L"
"LandPlane","L1P","KTOO","1","Piston","ANGLIN","J-6 Karatoo","L"
"LandPlane","L1P","KTOO","1","Piston","ANGLIN","Karatoo","L"
"LandPlane","L1P","SWAK","1","Piston","ANGLIN","Space Walker 1","L"
"LandPlane","L1P","SWAK","1","Piston","ANGLIN","Space Walker 2","L"
"LandPlane","L3P","TRIS","3","Piston","ANGLO NORMANDY","BN-2A Mk3 Trislander","L"
"LandPlane","L3P","TRIS","3","Piston","ANGLO NORMANDY","Trislander","L"
"LandPlane","L1P","P220","1","Piston","ANTONIEWSKI","P-220S-AT1","L"
"LandPlane","L1P","P220","1","Piston","ANTONIEWSKI","P-220S-AT2","L"
"LandPlane","L1P","P220","1","Piston","ANTONIEWSKI","P-220S-AT3","L"
"LandPlane","L1P","AN2","1","Piston","ANTONOV","An-2","L"
"LandPlane","L1T","AN3","1","Turboprop/Turboshaft","ANTONOV","An-3","L"
"LandPlane","L2T","AN8","2","Turboprop/Turboshaft","ANTONOV","An-8","M"
"LandPlane","L4T","AN12","4","Turboprop/Turboshaft","ANTONOV","An-12","M"
"LandPlane","L4T","AN22","4","Turboprop/Turboshaft","ANTONOV","An-22 Antheus","H"
"LandPlane","L2T","AN24","2","Turboprop/Turboshaft","ANTONOV","An-24","M"
"LandPlane","L2T","AN26","2","Turboprop/Turboshaft","ANTONOV","An-26","M"
"LandPlane","L2T","AN28","2","Turboprop/Turboshaft","ANTONOV","An-28","L"
"LandPlane","L2T","AN30","2","Turboprop/Turboshaft","ANTONOV","An-30","M"
"LandPlane","L2T","AN32","2","Turboprop/Turboshaft","ANTONOV","An-32","M"
"LandPlane","L2T","AN32","2","Turboprop/Turboshaft","ANTONOV","An-32 Firekiller","M"
"LandPlane","L2T","AN32","2","Turboprop/Turboshaft","ANTONOV","An-32 Sutlej","M"
"LandPlane","L2T","AN38","2","Turboprop/Turboshaft","ANTONOV","An-38","M"
"LandPlane","L4T","AN70","4","Turboprop/Turboshaft","ANTONOV","An-70","M"
"LandPlane","L2J","AN72","2","Jet","ANTONOV","An-72","M"
"LandPlane","L2J","AN72","2","Jet","ANTONOV","An-74-100","M"
"LandPlane","L2J","AN72","2","Jet","ANTONOV","An-74-200","M"
"LandPlane","L2J","A743","2","Jet","ANTONOV","An-74-300","M"
"LandPlane","L4J","A124","4","Jet","ANTONOV","An-124 Ruslan","H"
"LandPlane","L2T","A140","2","Turboprop/Turboshaft","ANTONOV","An-140","M"
"LandPlane","L2J","A148","2","Jet","ANTONOV","An-148","M"
"LandPlane","L6J","A225","6","Jet","ANTONOV","An-225 Mriya","H"
"LandPlane","L4T","AN22","4","Turboprop/Turboshaft","ANTONOV","Antheus","H"
"LandPlane","L2T","AN32","2","Turboprop/Turboshaft","ANTONOV","Firekiller","M"
"LandPlane","L6J","A225","6","Jet","ANTONOV","Mriya","H"
"LandPlane","L4J","A124","4","Jet","ANTONOV","Ruslan","H"
"LandPlane","L2T","AN32","2","Turboprop/Turboshaft","ANTONOV","Sutlej","M"
"LandPlane","L2J","A158","2","Jet","ANTONOV","An-158","M"
"LandPlane","L2J","A178","2","Jet","ANTONOV","An-178","M"
"LandPlane","L2J","AJET","2","Jet","AOI","Alpha Jet","M"
"LandPlane","L1T","TUCA","1","Turboprop/Turboshaft","AOI","EMB-312 Tucano","L"
"LandPlane","L1T","TUCA","1","Turboprop/Turboshaft","AOI","Tucano","L"
"LandPlane","L1P","ZIA","1","Piston","APPLEBAY","Zia","L"
"LandPlane","L1P","DRTG","1","Piston","APPLEGATE & WEYANT","Dart GC","L"
"LandPlane","L1P","A210","1","Piston","AQUILA","A-210","L"
"LandPlane","L1P","A210","1","Piston","AQUILA","AT-01","L"
"LandPlane","L1P","AR79","1","Piston","ARADO","Ar-79","L"
"LandPlane","L1P","RF47","1","Piston","ARC ATLANTIQUE","RF-47","L"
"Amphibian","A2P","CE22","2","Piston","ARC-41","VNS-41","L"
"LandPlane","L1P","S1","1","Piston","ARCTIC","Arctic Tern","L"
"LandPlane","L1P","S4","1","Piston","ARCTIC","Privateer","L"
"LandPlane","L1P","S1","1","Piston","ARCTIC","S-1 Arctic Tern","L"
"LandPlane","L1P","S4","1","Piston","ARCTIC","S-4 Privateer","L"
"LandPlane","L1T","F26T","1","Turboprop/Turboshaft","ARDC","Layang","L"
"LandPlane","L1P","ALIG","1","Piston","ARION","Lightning","L"
"LandPlane","L1P","ALIG","1","Piston","ARION","LS-1 Lightning","L"
"LandPlane","L2J","METR","2","Jet","ARMSTRONG WHITWORTH","Meteor","M"
"LandPlane","L1J","SHAW","1","Jet","ARMSTRONG WHITWORTH","Sea Hawk","M"
"Amphibian","A1P","AVTR","1","Piston","ARNET PEREYRA","Aventura 2","L"
"Amphibian","A1P","BUCA","1","Piston","ARNET PEREYRA","Buccaneer","L"
"LandPlane","L1P","SAB2","1","Piston","ARNET PEREYRA","Sabre 2","L"
"LandPlane","L1P","ZEP2","1","Piston","ARNET PEREYRA","Toucan","L"
"LandPlane","L1P","ZEP2","1","Piston","ARNET PEREYRA","Zephyr 2","L"
"LandPlane","L1P","ARWF","1","Piston","ARROW (1)","F Sport","L"
"LandPlane","L1P","ARWF","1","Piston","ARROW (1)","Sport","L"
"LandPlane","L1P","YARR","1","Piston","ARROW (2)","Yarrow Arrow","L"
"LandPlane","L1P","ARV1","1","Piston","ARV","ARV-1 Super 2","L"
"LandPlane","L1P","ARV1","1","Piston","ARV","Super 2","L"
"LandPlane","L1P","BEVR","1","Piston","ASAP","Beaver","L"
"LandPlane","L1P","CHIN","1","Piston","ASAP","Chinook","L"
"LandPlane","L1P","ARV1","1","Piston","ASL","ARV-1 Opus 280","L"
"LandPlane","L1P","ARV1","1","Piston","ASL","Opus 280","L"
"LandPlane","L1P","ASO4","1","Piston","ASSO AEREI","Asso 4 Whisky","L"
"LandPlane","L1P","L181","1","Piston","ASSOCIATED AIR","Liberty 181","L"
"Helicopter","H2T","H60","2","Turboprop/Turboshaft","ASTA","S-70 Seahawk","M"
"Helicopter","H2T","H60","2","Turboprop/Turboshaft","ASTA","Seahawk","M"
"LandPlane","L2J","F18H","2","Jet","ASTA","Hornet","M"
"LandPlane","L2J","F18H","2","Jet","ASTA","AF-18 Hornet","M"
"LandPlane","L2J","F18H","2","Jet","ASTA","ATF-18 Hornet","M"
"LandPlane","L1P","PAT2","1","Piston","ATAC","Patriot 2","L"
"LandPlane","L1P","ZEPH","1","Piston","ATEC","122 Zephyr","L"
"LandPlane","L1P","FAET","1","Piston","ATEC","321 Faeta","L"
"LandPlane","L1P","FAET","1","Piston","ATEC","Faeta","L"
"LandPlane","L1P","ZEPH","1","Piston","ATEC","Zephyr","L"
"LandPlane","L2J","ATG1","2","Jet","ATG","ATG-1 Javelin","L"
"LandPlane","L2J","ATG1","2","Jet","ATG","Javelin","L"
"LandPlane","L1P","LA60","1","Piston","ATLAS","AL-60 Kudu","L"
"LandPlane","L1P","AM3","1","Piston","ATLAS","AM-3 Bosbok","L"
"LandPlane","L1T","PC7","1","Turboprop/Turboshaft","ATLAS","Astra","L"
"LandPlane","L1P","AM3","1","Piston","ATLAS","Bosbok","L"
"LandPlane","L1J","MIRA","1","Jet","ATLAS","Cheetah","M"
"Helicopter","H2T","RVAL","2","Turboprop/Turboshaft","ATLAS","CSH-2 Rooivalk","M"
"LandPlane","L1J","M326","1","Jet","ATLAS","Impala","L"
"LandPlane","L1P","LA60","1","Piston","ATLAS","Kudu","L"
"LandPlane","L1J","M326","1","Jet","ATLAS","MB-326 Impala","L"
"Helicopter","H2T","AS32","2","Turboprop/Turboshaft","ATLAS","Oryx","M"
"LandPlane","L1T","PC7","1","Turboprop/Turboshaft","ATLAS","PC-7 Astra","L"
"Helicopter","H2T","RVAL","2","Turboprop/Turboshaft","ATLAS","Rooivalk","M"
"Helicopter","H2T","AS32","2","Turboprop/Turboshaft","ATLAS","SA-330 Oryx","M"
"LandPlane","L2T","AT43","2","Turboprop/Turboshaft","ATR","ATR-42-300","M"
"LandPlane","L2T","AT43","2","Turboprop/Turboshaft","ATR","ATR-42-320","M"
"LandPlane","L2T","AT44","2","Turboprop/Turboshaft","ATR","ATR-42-400","M"
"LandPlane","L2T","AT44","2","Turboprop/Turboshaft","ATR","ATR-42-400 Surveyor","M"
"LandPlane","L2T","AT45","2","Turboprop/Turboshaft","ATR","ATR-42-500","M"
"LandPlane","L2T","AT45","2","Turboprop/Turboshaft","ATR","ATR-42-500 Surveyor","M"
"LandPlane","L2T","AT44","2","Turboprop/Turboshaft","ATR","Surveyor (ATR-42-400)","M"
"LandPlane","L2T","AT45","2","Turboprop/Turboshaft","ATR","Surveyor (ATR-42-500)","M"
"LandPlane","L2T","AT46","2","Turboprop/Turboshaft","ATR","ATR-42-600","M"
"LandPlane","L2T","AT72","2","Turboprop/Turboshaft","ATR","ATR-72-201","M"
"LandPlane","L2T","AT72","2","Turboprop/Turboshaft","ATR","ATR-72-202","M"
"LandPlane","L2T","AT73","2","Turboprop/Turboshaft","ATR","ATR-72-211","M"
"LandPlane","L2T","AT75","2","Turboprop/Turboshaft","ATR","ATR-72-500","M"
"LandPlane","L2T","AT76","2","Turboprop/Turboshaft","ATR","ATR-72-600","M"
"LandPlane","L2T","AT76","2","Turboprop/Turboshaft","ATR","ATR-72-212A (600)","M"
"LandPlane","L2T","AT73","2","Turboprop/Turboshaft","ATR","ATR-72-212","M"
"LandPlane","L2T","AT75","2","Turboprop/Turboshaft","ATR","ATR-72-212A (500)","M"
"LandPlane","L1P","AUS6","1","Piston","AUSTER","6A","L"
"LandPlane","L1P","ADVE","1","Piston","AUSTER","Adventurer","L"
"LandPlane","L1P","J1","1","Piston","AUSTER","Aiglet","L"
"LandPlane","L1P","AIGT","1","Piston","AUSTER","Aiglet Trainer","L"
"LandPlane","L1P","J1","1","Piston","AUSTER","Alpha","L"
"LandPlane","L1P","ALPI","1","Piston","AUSTER","Alpine","L"
"LandPlane","L1P","AUJ4","1","Piston","AUSTER","Archer","L"
"LandPlane","L1P","AUJ2","1","Piston","AUSTER","Arrow","L"
"LandPlane","L1P","AUS5","1","Piston","AUSTER","Auster 5","L"
"LandPlane","L1P","AUS5","1","Piston","AUSTER","Auster 5 Alpha","L"
"LandPlane","L1P","AUS6","1","Piston","AUSTER","Auster AOP6","L"
"LandPlane","L1P","AUS9","1","Piston","AUSTER","Auster AOP9","L"
"LandPlane","L1P","AUS7","1","Piston","AUSTER","Auster T7","L"
"LandPlane","L1P","ACAR","1","Piston","AUSTER","Autocar","L"
"LandPlane","L1P","J1","1","Piston","AUSTER","Autocrat","L"
"LandPlane","L1P","AUS9","1","Piston","AUSTER","B5","L"
"LandPlane","L1P","D4","1","Piston","AUSTER","D-4","L"
"LandPlane","L1P","D5","1","Piston","AUSTER","D-5","L"
"LandPlane","L1P","D6","1","Piston","AUSTER","D-6","L"
"LandPlane","L1P","AUS5","1","Piston","AUSTER","J","L"
"LandPlane","L1P","J1","1","Piston","AUSTER","J-1 Aiglet","L"
"LandPlane","L1P","J1","1","Piston","AUSTER","J-1 Alpha","L"
"LandPlane","L1P","J1","1","Piston","AUSTER","J-1 Autocrat","L"
"LandPlane","L1P","J1","1","Piston","AUSTER","J-1 Kingsland","L"
"LandPlane","L1P","J1","1","Piston","AUSTER","J-1 Workmaster","L"
"LandPlane","L1P","AUJ2","1","Piston","AUSTER","J-2 Arrow","L"
"LandPlane","L1P","AUJ4","1","Piston","AUSTER","J-4 Archer","L"
"LandPlane","L1P","ADVE","1","Piston","AUSTER","J-5 Adventurer","L"
"LandPlane","L1P","ACAR","1","Piston","AUSTER","J-5B Autocar","L"
"LandPlane","L1P","ACAR","1","Piston","AUSTER","J-5E Autocar","L"
"LandPlane","L1P","AIGT","1","Piston","AUSTER","J-5F Aiglet Trainer","L"
"LandPlane","L1P","ACAR","1","Piston","AUSTER","J-5G Autocar","L"
"LandPlane","L1P","ACAR","1","Piston","AUSTER","J-5H Autocar","L"
"LandPlane","L1P","AIGT","1","Piston","AUSTER","J-5K Aiglet Trainer","L"
"LandPlane","L1P","AIGT","1","Piston","AUSTER","J-5L Aiglet Trainer","L"
"LandPlane","L1P","ACAR","1","Piston","AUSTER","J-5P Autocar","L"
"LandPlane","L1P","ALPI","1","Piston","AUSTER","J-5Q Alpine","L"
"LandPlane","L1P","ALPI","1","Piston","AUSTER","J-5R Alpine","L"
"LandPlane","L1P","ACAR","1","Piston","AUSTER","J-5T Autocar","L"
"LandPlane","L1P","ACAR","1","Piston","AUSTER","J-5V Autocar","L"
"LandPlane","L1P","AUS6","1","Piston","AUSTER","K","L"
"LandPlane","L1P","J1","1","Piston","AUSTER","Kingsland","L"
"LandPlane","L1P","AUS7","1","Piston","AUSTER","Q","L"
"LandPlane","L1P","J1","1","Piston","AUSTER","Workmaster","L"
"LandPlane","L1P","DRIF","1","Piston","AUSTFLIGHT","Drifter","L"
"Helicopter","H2T","TIGR","2","Turboprop/Turboshaft","AUSTRALIAN AEROSPACE","EC-665 Tiger","L"
"Helicopter","H2T","TIGR","2","Turboprop/Turboshaft","AUSTRALIAN AEROSPACE","Tiger","L"
"Helicopter","H2T","NH90","2","Turboprop/Turboshaft","AUSTRALIAN AEROSPACE","MRH-90","M"
"LandPlane","L1P","UBAT","1","Piston","AUSTRALITE","Ultrabat","L"
"Gyrocopter","G1P","MT","1","Piston","AUTOGYRO","MT-03","L"
"Gyrocopter","G1P","MT","1","Piston","AUTOGYRO","MTOSport","L"
"Gyrocopter","G1P","CDUS","1","Piston","AUTOGYRO","Calidus","L"
"Gyrocopter","G1P","CLON","1","Piston","AUTOGYRO","Cavalon","L"
"LandPlane","L1P","A27","1","Piston","AVANTAGE","A-27","L"
"LandPlane","L1P","A29","1","Piston","AVANTAGE","A-29","L"
"LandPlane","L1P","A31","1","Piston","AVANTAGE","A-31 Spectrum","L"
"LandPlane","L1P","A35","1","Piston","AVANTAGE","A-35 Scanner","L"
"LandPlane","L1P","A35","1","Piston","AVANTAGE","Scanner","L"
"LandPlane","L1P","A31","1","Piston","AVANTAGE","Spectrum","L"
"LandPlane","L2J","J328","2","Jet","AVCRAFT","Dornier 328JET","M"
"LandPlane","L1P","VL3","1","Piston","AVEKO","VL-3 Flamingo","L"
"LandPlane","L1P","VL3","1","Piston","AVEKO","Flamingo","L"
"LandPlane","L1P","VL3","1","Piston","AVEKO","VL-3","L"
"LandPlane","L1P","VL3","1","Piston","AVEKO","VL-3 Sprint","L"
"LandPlane","L1P","VL3","1","Piston","AVEKO","Sprint","L"
"LandPlane","L1P","FL3","1","Piston","AVIA (1)","Aviastarlet","L"
"LandPlane","L1P","FL3","1","Piston","AVIA (1)","L-3 Aviastarlet","L"
"LandPlane","L2P","IL14","2","Piston","AVIA (2)","Av-14","M"
"LandPlane","L2P","ACRD","2","Piston","AVIA (3)","Accord","L"
"LandPlane","L1P","LAKX","1","Piston","AVIA BALTIKA","LAK-X","L"
"LandPlane","L1P","BL19","1","Piston","AVIABELLANCA","19 Skyrocket","L"
"LandPlane","L1P","BL19","1","Piston","AVIABELLANCA","Skyrocket","L"
"LandPlane","L1P","A16","1","Piston","AVIADESIGN","A-16 Sport Falcon","L"
"Helicopter","H2P","YNHL","2","Piston","AVIAIMPEX","KT-112 Yanhol","L"
"Helicopter","H2P","YNHL","2","Piston","AVIAIMPEX","Yanhol","L"
"LandPlane","L1P","VG3T","1","Piston","AVIAKIT","Vega 3000","L"
"LandPlane","L1P","F8L","1","Piston","AVIAMILANO","F-8L Falco","L"
"LandPlane","L1P","NIBB","1","Piston","AVIAMILANO","F-14 Nibbio","L"
"LandPlane","L1P","F8L","1","Piston","AVIAMILANO","Falco","L"
"LandPlane","L1P","NIBB","1","Piston","AVIAMILANO","Nibbio","L"
"LandPlane","L1P","P19","1","Piston","AVIAMILANO","P-19 Scricciolo","L"
"LandPlane","L1P","P19","1","Piston","AVIAMILANO","Scricciolo","L"
"LandPlane","L1P","AC5M","1","Piston","AVIASTROITEL","AC-5M","L"
"LandPlane","L1P","M110","1","Piston","AVIAT","110 Specal","L"
"LandPlane","L1P","HUSK","1","Piston","AVIAT","A-1 Husky","L"
"LandPlane","L1P","HUSK","1","Piston","AVIAT","A-1 Husky Pup","L"
"LandPlane","L1P","EAGL","1","Piston","AVIAT","Eagle","L"
"LandPlane","L1P","HUSK","1","Piston","AVIAT","Husky","L"
"LandPlane","L1P","HUSK","1","Piston","AVIAT","Husky Pup","L"
"LandPlane","L1P","PTS1","1","Piston","AVIAT","Pitts S-1 Special","L"
"LandPlane","L1P","PTS2","1","Piston","AVIAT","Pitts S-2 Special","L"
"LandPlane","L1P","PTSS","1","Piston","AVIAT","S-1-11 Super Stinker","L"
"LandPlane","L1P","M110","1","Piston","AVIAT","Special","L"
"LandPlane","L1P","PTSS","1","Piston","AVIAT","Super Stinker","L"
"LandPlane","L1P","C185","1","Piston","AVIATECH","Super Cyclone","L"
"LandPlane","L1P","A900","1","Piston","AVIATIKA","Acrobat","L"
"LandPlane","L1P","A890","1","Piston","AVIATIKA","MAI-890","L"
"LandPlane","L1P","A900","1","Piston","AVIATIKA","MAI-900 Acrobat","L"
"LandPlane","L1P","A910","1","Piston","AVIATIKA","MAI-910","L"
"LandPlane","L1P","A910","1","Piston","AVIATIKA","MAI-960","L"
"Amphibian","A2P","A251","2","Piston","AVIATIK-ALYANS","Aleks-251","L"
"LandPlane","L1P","ALBU","1","Piston","AVIATION DEVELOPMENT","Alaskan Bushmaster","L"
"LandPlane","L1P","MGNM","1","Piston","AVIATION ENTERPRISES","Magnum","L"
"LandPlane","L1P","JAJ5","1","Piston","AVIATION FARM","J-5 Marco","L"
"LandPlane","L1P","JAJ5","1","Piston","AVIATION FARM","Marco","L"
"LandPlane","L1P","ARV1","1","Piston","AVIATION SCOTLAND","ARV-1 Super 2","L"
"LandPlane","L1P","ARV1","1","Piston","AVIATION SCOTLAND","Super 2","L"
"LandPlane","L4P","CARV","4","Piston","AVIATION TRADERS","ATL-98 Carvair","M"
"LandPlane","L4P","CARV","4","Piston","AVIATION TRADERS","Carvair","M"
"LandPlane","L2P","MERK","2","Piston","AVIATON","Merkury","L"
"Helicopter","H1T","AS50","1","Turboprop/Turboshaft","AVICOPTER","AC-301","L"
"Helicopter","H1T","AC31","1","Turboprop/Turboshaft","AVICOPTER","AC-311","L"
"Helicopter","H3T","AC33","3","Turboprop/Turboshaft","AVICOPTER","AC-313","M"
"Amphibian","A1P","AVAM","1","Piston","AVID","Avid Amphibian","L"
"LandPlane","L1P","AVID","1","Piston","AVID","Avid Commuter","L"
"LandPlane","L1P","AVID","1","Piston","AVID","Avid Flyer","L"
"Amphibian","A1P","AVAM","1","Piston","AVID","Catalina","L"
"LandPlane","L1P","MAGN","1","Piston","AVID","Magnum","L"
"LandPlane","L1J","IR99","1","Jet","AVIOANE","IAR-99 Soim","L"
"LandPlane","L1J","IR99","1","Jet","AVIOANE","IAR-109 Swift","L"
"LandPlane","L1J","IR99","1","Jet","AVIOANE","Soim","L"
"LandPlane","L1J","IR99","1","Jet","AVIOANE","Swift","L"
"LandPlane","L1P","F1FV","1","Piston","AVION","F-1 Favorit","L"
"LandPlane","L1P","F1FV","1","Piston","AVION","Favorit","L"
"LandPlane","L1P","C150","1","Piston","AVIONES COLOMBIA","150","L"
"LandPlane","L1P","C152","1","Piston","AVIONES COLOMBIA","152","L"
"LandPlane","L1P","C172","1","Piston","AVIONES COLOMBIA","172","L"
"LandPlane","L1P","C72R","1","Piston","AVIONES COLOMBIA","172RG","L"
"LandPlane","L1P","C77R","1","Piston","AVIONES COLOMBIA","177RG","L"
"LandPlane","L1P","C182","1","Piston","AVIONES COLOMBIA","182","L"
"LandPlane","L1P","C185","1","Piston","AVIONES COLOMBIA","185","L"
"LandPlane","L1P","C188","1","Piston","AVIONES COLOMBIA","188","L"
"LandPlane","L1P","C206","1","Piston","AVIONES COLOMBIA","206","L"
"LandPlane","L1P","C210","1","Piston","AVIONES COLOMBIA","210","L"
"LandPlane","L2P","C310","2","Piston","AVIONES COLOMBIA","310","L"
"LandPlane","L2P","C337","2","Piston","AVIONES COLOMBIA","337","L"
